top - 15:28:20 up  4:25,  1 user,  load average: 2,42, 2,75, 2,22
Tasks: 389 total,   1 running, 388 sleeping,   0 stopped,   0 zombie
%Cpu(s): 13,6 us,  0,8 sy,  0,0 ni, 85,6 id,  0,0 wa,  0,0 hi,  0,0 si,  0,0 st
MiB Mem :  31835,6 total,  20859,3 free,   4557,7 used,   6418,6 buff/cache
MiB Swap:   7628,0 total,   7628,0 free,      0,0 used.  26111,6 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
  69311 root      20   0   11,8g 193256  28516 S 100,0   0,6   1:49.03 java
   1851 satrai    20   0  523536  30856  20444 S   0,0   0,1   0:00.45 gsd-co+
   1852 satrai    20   0  382248  16300  14352 S   0,0   0,1   0:00.03 gsd-da+
   1853 satrai    20   0  320492   7636   6760 S   0,0   0,0   0:03.35 gsd-ho+
   1857 satrai    20   0  354580  28864  18868 S   0,0   0,1   0:00.43 gsd-ke+
   1859 satrai    20   0  696944  33776  21000 S   0,0   0,1   0:03.30 gsd-me+
   1862 satrai    20   0  695564  31968  21084 S   0,0   0,1   0:08.08 gsd-po+
   1865 satrai    20   0  256852  11340   9924 S   0,0   0,0   0:00.02 gsd-pr+
   1866 satrai    20   0  465736   6060   5444 S   0,0   0,0   0:00.57 gsd-rf+
   1867 satrai    20   0  318004   5936   5320 S   0,0   0,0   0:00.02 gsd-sc+
   1868 satrai    20   0  473544  10868   9116 S   0,0   0,0   0:02.71 gsd-sh+
   1870 satrai    20   0  397532   8348   7508 S   0,0   0,0   0:00.02 gsd-sm+
   1874 satrai    20   0  327984   9008   8000 S   0,0   0,0   0:00.02 gsd-so+
   1877 satrai    20   0  467328   7360   6588 S   0,0   0,0   0:00.02 gsd-us+
   1880 satrai    20   0  354116  28144  17992 S   0,0   0,1   0:00.43 gsd-wa+
   1881 satrai    20   0  322724   7928   7032 S   0,0   0,0   0:00.03 gsd-ww+
   1885 satrai    20   0  355352  29928  19324 S   0,0   0,1   0:00.56 gsd-xs+
   1895 satrai    20   0  322728   8400   7052 S   0,0   0,0   0:00.94 gvfsd-+
   1917 satrai    20   0  728484  59868  43708 S   0,0   0,2   0:00.46 evolut+
